surfactant,cmc_mean,gamma_max_mean,st_at_cmc_mean,log(Kad)_mean
16BAC,0.54 (0.03),3.3 (0.22),39.1 (0.18),3.92 (0.10)
BDDAB,4.99 (0.32),3.5 (0.17),28.7 (1.69),3.31 (0.06)
C12E3,0.08 (0.01),5.1 (0.75),28.1 (0.52),4.49 (0.25)
C12E4,0.08 (0.01),4.8 (1.51),30.3 (1.99),4.59 (0.50)
CTAB,1.07 (0.21),4.4 (0.62),35.2 (2.22),3.33 (0.21)
DTAB,12.93 (1.47),3.4 (0.40),34.9 (0.92),2.72 (0.16)
NaOleate,0.16 (0.01),4.7 (0.04),39.0 (1.41),3.88 (0.06)
SDBS,2.65 (0.11),3.4 (0.26),35.1 (0.70),3.36 (0.15)
SDS,7.67 (0.32),4.4 (0.20),38.3 (0.08),2.33 (0.07)
SOS,128.74 (6.57),3.3 (0.16),40.7 (0.37),1.46 (0.06)
TTAB,2.99 (0.49),5.7 (1.54),31.1 (0.71),2.65 (0.46)
